Issue Identifier,Title,Channel Name,Channel URL,Duration,Date Watched,Transcription Raw,Serendipity Score,Category,Symphony Status
YT-YNyBIOTrHyU,Why You'll Never Achieve Your Goals [Dan Martell FULL Keynote],Dan Martell,https://www.youtube.com/@danmartell,56:07,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-C3BbuKNccZc,Why being FAST makes you more successful (just copy me),Dan Martell,https://www.youtube.com/@danmartell,15:16,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-5a9f0eIVhF0,Get Rich in the NEW Era of AI (2026),Dan Martell,https://www.youtube.com/@danmartell,18:08,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-nrra-npYUmc,Give Me 20 Minutes and I’ll Make You Insanely Rich,Dan Martell,https://www.youtube.com/@danmartell,20:55,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-np6CwvTYTAM,"I Tested 500+ AI Tools, These Will Make You Rich",Dan Martell,https://www.youtube.com/@danmartell,22:46,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-yvXNmdfYJYY,"If You Understand These 7 Principles, You’ll Understand How to Get Rich as F*ck",Dan Martell,https://www.youtube.com/@danmartell,17:16,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-FXXhxepEsuA,"If you don’t understand these money laws, you’ll never be rich",Dan Martell,https://www.youtube.com/@danmartell,17:54,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-Zgwfw3R_Qq0,Make Rich Friends (Without Money),Dan Martell,https://www.youtube.com/@danmartell,11:43,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-03sa2Ezxuiw,Millionaire CEO Explains: 8 Steps to Get Your Sh*t Together,Dan Martell,https://www.youtube.com/@danmartell,21:16,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-auirEc-W_-M,Multi-Million Dollar Morning Routine,Dan Martell,https://www.youtube.com/@danmartell,09:08,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-TL6Iu0TzFzs,Reprogram Your Mind to Be Rich in 47 Mins,Dan Martell,https://www.youtube.com/@danmartell,47:45,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-bbaf3eAfyd4,Stop Wasting Your Life - 7 Things I Quit to Go From Broke to Millionaire,Dan Martell,https://www.youtube.com/@danmartell,12:20,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CLARIFIED_PLANE
YT-X_X7WE1JBRg,The 6 Most Profitable AI Businesses to Start in 2026,Dan Martell,https://www.youtube.com/@danmartell,19:49,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-nNXSX4vPfcg,The only skill you need to become a millionaire [Buy Back Your Time],Dan Martell,https://www.youtube.com/@danmartell,36:59,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CLARIFIED_PLANE
YT-eYyWFJpVBBI,This is Your Last Chance to Get Rich (Before AI Replaces You),Dan Martell,https://www.youtube.com/@danmartell,13:54,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Finance,CAPTURED
YT-aOQndPlfNhU,27 Years of No Bullsh*t Business Advice in 27 Mins,Dan Martell,https://www.youtube.com/@danmartell,27:13,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-8ujbxFtVzBM,8 Tiny Habits That Made Me Rich,Dan Martell,https://www.youtube.com/@danmartell,23:33,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-mydzICwDb6c,Brutally Honest Advice For Someone Trying to Make Money with AI,Dan Martell,https://www.youtube.com/@danmartell,15:39,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-abGXsagW0jo,How To Actually Get Ahead With AI (Before It’s Too Late),Dan Martell,https://www.youtube.com/@danmartell,`abGXsagW0jo`,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-yntwf1JYnFA,These Rules Made Me So Rich I Questioned the Meaning of Money,Dan Martell,https://www.youtube.com/@danmartell,28:38,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-TScd8ha81dQ,These Rules Made me So Rich I Questioned The Meaning of Life,Dan Martell,https://www.youtube.com/@danmartell,24:46,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-P1t4QsF1yxc,This Rule Made Me So Rich I Questioned The Meaning of Life,Dan Martell,https://www.youtube.com/@danmartell,10:37,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Growth,CAPTURED
YT-NcNingch2AM,How I’d Make $1M with AI in 2026 (Zero Code),Dan Martell,https://www.youtube.com/@danmartell,17:33,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-w-XPlC3a2oI,How to Build a $10M Solo AI Business (Zero Code),Dan Martell,https://www.youtube.com/@danmartell,14:25,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-5hZCTc_mwOg,How to Get SO Many Customers with AI it feels ILLEGAL,Dan Martell,https://www.youtube.com/@danmartell,18:01,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-ar9JCsiq6hs,How to Start a 1-Person AI Business (With Zero Code),Dan Martell,https://www.youtube.com/@danmartell,30:25,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-FEex8E1yDj4,"I Tried 500+ AI Tools, These 20 Will Make You $1M (With Zero Code)",Dan Martell,https://www.youtube.com/@danmartell,18:34,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-dyrr4eAdnhg,"If I Started Over With $0, Here’s My Exact Plan to get to $1M",Dan Martell,https://www.youtube.com/@danmartell,15:46,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-Aq6kt7qaylw,"If you’re ambitious but can’t stay consistent, watch this video",Dan Martell,https://www.youtube.com/@danmartell,13:40,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-biAYfwX4bkY,Laziest Way to Make Money With AI (Zero Code),Dan Martell,https://www.youtube.com/@danmartell,15:00,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-uz_3dSU8rQo,Laziest Way to Make Money with AI (Starting From Zero),Dan Martell,https://www.youtube.com/@danmartell,13:42,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-K8Ros5RhJW4,The Only 14 Ways to Make Money with AI in 2026,Dan Martell,https://www.youtube.com/@danmartell,26:44,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-bkM-lYgAxh0,These 6 ChatGPT Hacks Will Make You So Much Money It Feels Illegal,Dan Martell,https://www.youtube.com/@danmartell,15:21,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-0pStigyl674,This Video Will Make You Dangerously Smart With AI,Dan Martell,https://www.youtube.com/@danmartell,14:15,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-pLTBGuZ2KkY,What it’s Like to Live Like a $100M CEO (Day in the life of Dan Martell),Dan Martell,https://www.youtube.com/@danmartell,18:16,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-XRU-CjzYt_o,Why I Switched From ChatGPT to Claude (without losing anything),Dan Martell,https://www.youtube.com/@danmartell,16:07,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CLARIFIED_PLANE
YT-58SKm5gJtcU,You’re not Lazy. You’re scared. Here’s how to fix it.,Dan Martell,https://www.youtube.com/@danmartell,09:38,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,IT,CAPTURED
YT-6elnsE7T_Ws,13 Hacks to be 99.9% More Disciplined That Cost Nothing,Dan Martell,https://www.youtube.com/@danmartell,22:59,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Legal,CAPTURED
YT-UrGO9wNP1kE,15 Principles of Success,Dan Martell,https://www.youtube.com/@danmartell,19:13,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Legal,CAPTURED
YT-eY9gpdaXW7w,Business is Hard Until You Build These Systems,Dan Martell,https://www.youtube.com/@danmartell,50:29,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Ops,CAPTURED
YT-y5jL8KsUwaI,How to Build Systems (with AI) to ACTUALLY Achieve Your Goals,Dan Martell,https://www.youtube.com/@danmartell,17:42,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Ops,CAPTURED
YT-9w0INwjTYdU,"How to Make Time For Everything (Seriously, everything)",Dan Martell,https://www.youtube.com/@danmartell,19:03,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Ops,CAPTURED
YT-Gw4zffTgcrI,12 Hacks to Be 99.9% More Productive That Cost Nothing,Dan Martell,https://www.youtube.com/@danmartell,21:14,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Product,CAPTURED
YT-reR_EtTCkW4,How to Be So Productive That It Makes You Dangerous,Dan Martell,https://www.youtube.com/@danmartell,07:24,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Product,CAPTURED
YT-hSGt_rhu49U,How to Be So Productive it Feels ILLEGAL,Dan Martell,https://www.youtube.com/@danmartell,18:07,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Product,CAPTURED
YT-0hOrbnA_1JI,Stop Wasting Life - 8 Productivity Rules of The Top 1%,Dan Martell,https://www.youtube.com/@danmartell,25:25,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Product,CAPTURED
YT-Mxy6MVbpNhg,These ChatGPT Hacks Will Make You SO Productive It Feels Illegal,Dan Martell,https://www.youtube.com/@danmartell,28:41,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Product,CAPTURED
YT-u5z3BqECYB4,Give Me 96 Minutes & I'll Delete Your Fear of Failure,Dan Martell,https://www.youtube.com/@danmartell,`u5z3BqECYB4`,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,People,CAPTURED
YT-1wfY7GCVvh0,Google&#39;s Agents CLI: The CLI + Skills Combination to Ship AI Agents EASILY,Cole Medin,https://www.youtube.com/channel/UCMwVTLZIRRUyyVrkjDpn4pA,00:00,2026-06-11T03:13:39,Captured and clarified via Google Agents CLI sementic guide.,9,LD01_Business,CLARIFIED_PLANE
YT-OfrZE35gHM0,"J&#39;en avais marre de tester mon app à la main, alors j&#39;ai laissé Claude le faire",Shubham SHARMA,https://www.youtube.com/channel/UCLKx4-_XO5sR0AO0j8ye7zQ,00:00,2026-06-11T01:46:11,Captured and clarified via Playwright QA automation guide.,9,LD01_Business,CLARIFIED_PLANE
YT-EHJk-x17AP0,Fable 5 : La Vidéo à NE PAS RATER Pour Tout Comprendre 🔥 (+ Test),Nerdy Kings,https://www.youtube.com/channel/UCp7vimq7dYKiVAJLPyI0GcA,00:00,2026-06-10T22:16:44,Scaffolded in Geordi Guides (LD01_Business). Pending deep A3 clarification.,9,LD01_Business,CAPTURED
